device,order_index,coefficient_position,row,col,frequency_band
DEVICE-003,5,56,7,0,mid
DEVICE-003,6,46,5,6,high
DEVICE-003,7,4,0,4,mid
DEVICE-003,8,53,6,5,high
DEVICE-003,9,40,5,0,mid
DEVICE-003,10,28,3,4,mid
DEVICE-003,11,42,5,2,mid
DEVICE-003,12,13,1,5,mid
DEVICE-003,13,23,2,7,high
DEVICE-003,14,15,1,7,mid
DEVICE-003,15,6,0,6,mid
DEVICE-003,16,51,6,3,high
DEVICE-003,17,33,4,1,mid
DEVICE-003,18,26,3,2,mid
DEVICE-003,19,59,7,3,high
DEVICE-003,20,37,4,5,high
DEVICE-003,21,16,2,0,low
DEVICE-003,22,55,6,7,high
DEVICE-003,23,30,3,6,high
DEVICE-003,24,62,7,6,high
DEVICE-003,25,63,7,7,high
DEVICE-003,26,24,3,0,low
DEVICE-003,27,54,6,6,high
DEVICE-003,28,1,0,1,low
DEVICE-003,29,36,4,4,mid
DEVICE-003,30,57,7,1,mid
DEVICE-003,31,39,4,7,high
DEVICE-003,32,11,1,3,mid
DEVICE-003,33,25,3,1,mid
DEVICE-003,34,18,2,2,mid
DEVICE-003,35,7,0,7,mid
DEVICE-003,36,19,2,3,mid
DEVICE-003,37,61,7,5,high
DEVICE-003,38,5,0,5,mid
DEVICE-003,39,0,0,0,low
DEVICE-003,40,3,0,3,low
DEVICE-003,41,17,2,1,low
DEVICE-003,42,10,1,2,low
DEVICE-003,43,43,5,3,mid
DEVICE-003,44,38,4,6,high
DEVICE-003,45,31,3,7,high
DEVICE-003,46,41,5,1,mid
DEVICE-003,47,47,5,7,high
DEVICE-003,48,50,6,2,mid
DEVICE-003,49,32,4,0,mid
DEVICE-003,50,2,0,2,low
DEVICE-003,51,29,3,5,mid
DEVICE-003,52,58,7,2,high
DEVICE-003,53,49,6,1,mid
DEVICE-003,54,35,4,3,mid
DEVICE-003,55,14,1,6,mid
DEVICE-003,56,12,1,4,mid
DEVICE-003,57,21,2,5,mid
DEVICE-003,58,34,4,2,mid
DEVICE-003,59,45,5,5,high
DEVICE-003,60,22,2,6,mid
DEVICE-003,61,44,5,4,high
DEVICE-003,62,60,7,4,high
DEVICE-003,63,52,6,4,high
